Direction_ID,Travel_ID,Current_Status,Vehicle ID,Latitude,Line_ID,Longitude,Pattern_ID,Route_ID,schedule_relationship,Shift_ID,Speed,Stop_ID,Timestamp,Trip_ID,Datetime,Date,Time,Day,Workday,Color_ID,Operator,Source,District
287,20250729-64810254-321670234560,In Transit,44|12538,38.686920166015625,4515,-8.63473129272461,4515_0_2,4515_0,SCHEDULED,321670234560,20.27777777777778,100374,1753780616,4515_0_2|3700|1015_PYPHK,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Red Line,CM,CM,Pegões
22,VER_DU_VU3036,In Transit,43|2360,38.52744674682617,3642,-8.890091896057129,3642_0_1,3642_0,SCHEDULED,VU3038,7.777777777777778,160141,1753780597,3642_0_1_0900_0929_0_VER_DU_G9Q68,2025-07-29 09:16:37,2025-07-29,09:16:37,Tuesday,True,Red Line,CM,CM,Bairro Salgado
145,7_7646-13,In Transit,41|1343,38.76545715332031,1718,-9.257085800170898,1718_0_1,1718_0,SCHEDULED,7646 | corrigida,5.277777777777778,171093,1753780612,1718_0_1_1000_1029_0_7_21NBI,2025-07-29 09:16:52,2025-07-29,09:16:52,Tuesday,True,Red Line,CM,CM,Pendão
357,VER_DU_VU1006,In Transit,43|2286,38.67453384399414,3715,-9.173441886901855,3715_0_2,3715_0,SCHEDULED,VU1008,5.833333333333333,060449,1753780603,3715_0_2_0930_0959_0_VER_DU_G9Q68,2025-07-29 09:16:43,2025-07-29,09:16:43,Tuesday,True,Red Line,CM,CM,Pragal
105,20250729-64810335-321450234560,In Transit,44|12636,38.652122497558594,4106,-9.02680492401123,4106_0_3,4106_0,SCHEDULED,321450234560,10.277777777777777,090010,1753780616,4106_0_3|3700|1000_PYPHK,2025-07-29 09:16:56,2025-07-29,09:16:56,Tuesday,True,Blue Line,CM,CM,Bairro Gouveia
330,3038-13,Stationed,42|2102,38.82576370239258,2725,-9.162219047546387,2725_0_1,2725_0,SCHEDULED,3038,0.0,070283,1753780624,2725_0_1|1|3|0940_HUAG2,2025-07-29 09:17:04,2025-07-29,09:17:04,Tuesday,True,Red Line,CM,CM,Bairro Almoínhas
221,7_7306-13,In Transit,41|1407,38.70576477050781,1608,-9.322639465332031,1608_0_1,1608_0,SCHEDULED,7345,8.055555555555555,121223,1753780626,1608_0_1_0930_0959_0_7_21NBI,2025-07-29 09:17:06,2025-07-29,09:17:06,Tuesday,True,Red Line,CM,CM,Bairro da Mina
258,20250729-64810163-311310234560,In Transit,44|12615,38.57125473022461,4562,-8.883014678955078,4562_0_1,4562_0,SCHEDULED,311310234560,2.7777777777777777,130663,1753780617,4562_0_1|3700|0945_PYPHK,2025-07-29 09:16:57,2025-07-29,09:16:57,Tuesday,True,Red Line,CM,CM,Cabeço do Velhinho
0,7_7709-13,Stationed,41|810,38.83857727050781,1242,-9.46193790435791,1242_0_2,1242_0,SCHEDULED,7796,0.0,171447,1753780621,1242_0_2_1000_1029_0_7_21NBI,2025-07-29 09:17:01,2025-07-29,09:17:01,Tuesday,True,Red Line,CM,CM,Unknown
210,3506-13,Approaching,42|2513,38.79021453857422,2772,-9.167969703674316,2772_0_2,2772_0,SCHEDULED,3629,8.61111111111111,110591,1753780623,2772_0_2|1|3|0945_HUAG2,2025-07-29 09:17:03,2025-07-29,09:17:03,Tuesday,True,Red Line,CM,CM,Póvoa de Santo Adrião e Olival Basto
15,3146-13'_001,Stationed,42|2021,38.97380065917969,2331,-8.983162879943848,2331_0_1,2331_0,SCHEDULED,3146,0.0,180781,1753780619,2331_0_1|1|3|0950_HUAG2,2025-07-29 09:16:59,2025-07-29,09:16:59,Tuesday,True,Blue Line,CM,CM,Povos
0,VER_DU_VU2064,Stationed,43|2234,38.68407440185547,3013,-9.150218963623047,3013_0_1,3013_0,SCHEDULED,VU2064,0.0,020041,1753780610,3013_0_1_1000_1029_0_VER_DU_G9Q68,2025-07-29 09:16:50,2025-07-29,09:16:50,Tuesday,True,Red Line,CM,CM,"Almada, Cova da Piedade, Pragal e Cacilhas"
59,VER_DU_VU1106,Approaching,43|2381,38.68704605102539,3512,-9.147138595581055,3512_0_2,3512_0,SCHEDULED,VU1108,5.555555555555555,020973,1753780597,3512_0_2_0900_0929_0_VER_DU_G9Q68,2025-07-29 09:16:37,2025-07-29,09:16:37,Tuesday,True,Red Line,CM,CM,Cacilhas
288,7_7082-13,In Transit,41|1247,38.751014709472656,1014,-9.224654197692871,1014_0_2,1014_0,SCHEDULED,7082,5.833333333333333,030458,1753780614,1014_0_2_0930_0959_0_7_21NBI,2025-07-29 09:16:54,2025-07-29,09:16:54,Tuesday,True,Red Line,CM,CM,Damaia
265,20250729-64810197-312320234560,In Transit,44|12061,38.52349853515625,4426,-8.895313262939453,4426_0_2,4426_0,SCHEDULED,312320234560,3.0555555555555554,160434,1753780623,4426_0_2|3700|0945_PYPHK,2025-07-29 09:17:03,2025-07-29,09:17:03,Tuesday,True,Blue Line,CM,CM,Centro Histórico
298,3540-13,In Transit,42|2520,38.816314697265625,2611,-9.16223430633545,2611_0_1,2611_0,SCHEDULED,3633,7.222222222222222,071269,1753780606,2611_0_1|1|3|1013_HUAG2,2025-07-29 09:16:46,2025-07-29,09:16:46,Tuesday,True,Red Line,CM,CM,Urbanização do Almirante
0,7_7743-13,Stationed,41|1378,38.80595016479492,1206,-9.34920883178711,1206_1_2,1206_1,SCHEDULED,7743,2.2222222222222223,170294,1753780620,1206_1_2_1000_1029_0_7_21NBI,2025-07-29 09:17:00,2025-07-29,09:17:00,Tuesday,True,Red Line,CM,CM,Algueirão
